Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol
ENSG00000170369	cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]	20	23823769	23826729	CST2
ENSG00000170367	cystatin D [Source:HGNC Symbol;Acc:HGNC:2477]	20	23875934	23879748	CST5
ENSG00000272897	novel protein	20	35632340	35674544	
ENSG00000125834	serine/threonine kinase 35 [Source:HGNC Symbol;Acc:HGNC:16254]	20	2101827	2177038	STK35
ENSG00000125780	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]	20	2296001	2341079	TGM3
ENSG00000286022	novel protein	20	2207328	2341059	
ENSG00000149435	gamma-glutamyltransferase light chain 1 [Source:HGNC Symbol;Acc:HGNC:16437]	20	23985050	23988779	GGTLC1
ENSG00000078747	itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13890]	20	34363241	34540748	ITCH
ENSG00000125971	dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468]	20	34516409	34540958	DYNLRB1
ENSG00000166948	transglutaminase 6 [Source:HGNC Symbol;Acc:HGNC:16255]	20	2380901	2432753	TGM6
ENSG00000101463	synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885]	20	24469629	24666616	SYNDIG1
ENSG00000077984	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	20	24949269	24959928	CST7
ENSG00000101474	adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]	20	24962925	24992751	APMAP
ENSG00000124253	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	20	57561080	57568121	PCK1
ENSG00000125835	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	20	2461634	2470853	SNRPB
ENSG00000256566	novel protein	20	2467212	2508907	
ENSG00000088876	zinc finger protein 343 [Source:HGNC Symbol;Acc:HGNC:16017]	20	2481817	2524702	ZNF343
ENSG00000088930	5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]	20	21303331	21389825	XRN2
ENSG00000088826	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	20	4120980	4187747	SMOX
ENSG00000101460	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]	20	34546854	34560345	MAP1LC3A
ENSG00000124256	Z-DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:16176]	20	57603846	57620576	ZBP1
ENSG00000154930	acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]	20	25006230	25058980	ACSS1
ENSG00000078804	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	20	34704339	34713439	TP53INP2
ENSG00000198646	nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:HGNC:15936]	20	34689097	34825651	NCOA6
ENSG00000101464	phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791]	20	34560542	34698790	PIGU
ENSG00000149609	chromosome 20 open reading frame 144 [Source:HGNC Symbol;Acc:HGNC:16137]	20	33662327	33665619	C20orf144
ENSG00000182584	actin like 10 [Source:HGNC Symbol;Acc:HGNC:16127]	20	33666943	33668525	ACTL10
ENSG00000125967	N-terminal EF-hand calcium binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15851]	20	33657087	33674463	NECAB3
ENSG00000149488	transmembrane channel like 2 [Source:HGNC Symbol;Acc:HGNC:16527]	20	2536607	2641784	TMC2
ENSG00000179242	cadherin 4 [Source:HGNC Symbol;Acc:HGNC:1763]	20	61252261	61940617	CDH4
ENSG00000100987	visual system homeobox 1 [Source:HGNC Symbol;Acc:HGNC:12723]	20	25070885	25082365	VSX1
ENSG00000124225	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	20	57648392	57711536	PMEPA1
ENSG00000131051	RNA binding motif protein 39 [Source:HGNC Symbol;Acc:HGNC:15923]	20	35701347	35742312	RBM39
ENSG00000101898	MCTS family member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:49760]	20	31547412	31548081	MCTS2P
ENSG00000101294	histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435]	20	31514410	31577923	HM13
ENSG00000171873	adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]	20	4220630	4249287	ADRA1D
ENSG00000124237	chromosome 20 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:16216]	20	58150902	58161150	C20orf85
ENSG00000124227	ankyrin repeat domain 60 [Source:HGNC Symbol;Acc:HGNC:16217]	20	58218495	58228653	ANKRD60
ENSG00000101412	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	20	33675477	33686385	E2F1
ENSG00000130699	TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]	20	61953469	62065810	TAF4
ENSG00000101417	peroxisomal membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15920]	20	33702758	33720319	PXMP4
ENSG00000171867	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	20	4686350	4701590	PRNP
ENSG00000171864	prion like protein doppel [Source:HGNC Symbol;Acc:HGNC:15748]	20	4721909	4728460	PRND
ENSG00000101265	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	20	4780023	4823608	RASSF2
ENSG00000149657	LSM family member 14B [Source:HGNC Symbol;Acc:HGNC:15887]	20	62122461	62135374	LSM14B
ENSG00000118702	growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]	20	37251082	37261835	GHRH
ENSG00000101361	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	20	2652593	2658393	NOP56
ENSG00000131061	zinc finger protein 341 [Source:HGNC Symbol;Acc:HGNC:15992]	20	33731657	33792269	ZNF341
ENSG00000101363	mannosidase beta like [Source:HGNC Symbol;Acc:HGNC:15799]	20	37289638	37317260	MANBAL
ENSG00000131069	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	20	34872146	34927962	ACSS2
ENSG00000131067	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]	20	34844720	34872856	GGT7
ENSG00000124209	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	20	58309715	58367507	RAB22A
ENSG00000197122	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	20	37344685	37406050	SRC
ENSG00000125816	NK2 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:7837]	20	21395365	21397526	NKX2-4
ENSG00000125820	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	20	21511017	21514064	NKX2-2
ENSG00000101182	proteasome subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	20	62136733	62143440	PSMA7
ENSG00000101199	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	20	63272785	63289790	ARFGAP1
ENSG00000182621	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	20	8077251	8968360	PLCB1
ENSG00000124164	VAMP associated protein B and C [Source:HGNC Symbol;Acc:HGNC:12649]	20	58389122	58451101	VAPB
ENSG00000166619	BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]	20	37492472	37527931	BLCAP
ENSG00000053438	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	20	37521206	37523690	NNAT
ENSG00000125813	paired box 1 [Source:HGNC Symbol;Acc:HGNC:8615]	20	21705659	21718486	PAX1
ENSG00000184402	SS18L1 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:15592]	20	62143769	62182514	SS18L1
ENSG00000198768	APC down-regulated 1 like [Source:HGNC Symbol;Acc:HGNC:26892]	20	58459101	58515399	APCDD1L
ENSG00000197586	ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]	20	25195693	25228075	ENTPD6
ENSG00000125798	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	20	22581005	22585455	FOXA2
ENSG00000132792	catenin beta like 1 [Source:HGNC Symbol;Acc:HGNC:15879]	20	37693955	37872129	CTNNBL1
ENSG00000132671	somatostatin receptor 4 [Source:HGNC Symbol;Acc:HGNC:11333]	20	23035386	23036812	SSTR4
ENSG00000178726	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	20	23045633	23049741	THBD
ENSG00000125810	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	20	23079360	23086324	CD93
ENSG00000101181	mitochondrial ribosome associated GTPase 2 [Source:HGNC Symbol;Acc:HGNC:16239]	20	62183029	62203568	MTG2
ENSG00000101180	histamine receptor H3 [Source:HGNC Symbol;Acc:HGNC:5184]	20	62214960	62220278	HRH3
ENSG00000125968	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	20	31605283	31606515	ID1
ENSG00000124098	family with sequence similarity 210 member B [Source:HGNC Symbol;Acc:HGNC:16102]	20	56358974	56368663	FAM210B
ENSG00000132821	V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]	20	37903111	37945350	VSTM2L
ENSG00000131055	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	20	31637912	31645006	COX4I2
ENSG00000232838	PET117 cytochrome c oxidase chaperone [Source:HGNC Symbol;Acc:HGNC:40045]	20	18137863	18143169	PET117
ENSG00000149474	lysine acetyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:15904]	20	18138118	18188387	KAT14
ENSG00000101407	TELO2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29029]	20	37983007	38033461	TTI1
ENSG00000101365	isocitrate dehydrogenase (NAD(+)) 3 beta [Source:HGNC Symbol;Acc:HGNC:5385]	20	2658395	2664219	IDH3B
ENSG00000198959	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	20	38127385	38166578	TGM2
ENSG00000101413	regulation of nuclear pre-mRNA domain containing 1B [Source:HGNC Symbol;Acc:HGNC:16209]	20	38033725	38127780	RPRD1B
ENSG00000101203	collagen type XX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:14670]	20	63293186	63334851	COL20A1
ENSG00000171552	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	20	31664452	31723989	BCL2L1
ENSG00000130703	oxysterol binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:15761]	20	62231922	62296213	OSBPL2
ENSG00000182463	teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]	20	52972358	53495330	TSHZ2
ENSG00000025293	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]	20	35771974	35950370	PHF20
ENSG00000101204	cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958]	20	63343223	63378401	CHRNA4
ENSG00000100983	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	20	34928432	34956027	GSS
ENSG00000149646	cyclic nucleotide binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16145]	20	35954564	36030700	CNBD2
ENSG00000088881	EBF family member 4 [Source:HGNC Symbol;Acc:HGNC:29278]	20	2692878	2760108	EBF4
ENSG00000171222	SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566]	20	35953617	35959472	SCAND1
ENSG00000125846	zinc finger protein 133 [Source:HGNC Symbol;Acc:HGNC:12917]	20	18288283	18316996	ZNF133
ENSG00000088325	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	20	31739271	31801805	TPX2
ENSG00000130702	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	20	62307955	62367312	LAMA5
ENSG00000130706	adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]	20	62302093	62308862	ADRM1
ENSG00000124151	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]	20	47501887	47656877	NCOA3
ENSG00000196562	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	20	47656348	47786616	SULF2
ENSG00000101333	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	20	9068763	9481242	PLCB4
ENSG00000025772	translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]	20	44942130	44960397	TOMM34
ENSG00000101104	poly(A) binding protein cytoplasmic 1 like [Source:HGNC Symbol;Acc:HGNC:15797]	20	44910062	44959035	PABPC1L
ENSG00000101425	bactericidal permeability increasing protein [Source:HGNC Symbol;Acc:HGNC:1095]	20	38304123	38337505	BPI
ENSG00000171940	zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]	20	53567065	53609907	ZNF217
ENSG00000149633	KIAA1755 [Source:HGNC Symbol;Acc:HGNC:29372]	20	38210503	38260772	KIAA1755
ENSG00000101306	myosin light chain kinase 2 [Source:HGNC Symbol;Acc:HGNC:16243]	20	31819308	31834689	MYLK2
ENSG00000204103	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	20	40685848	40689236	MAFB
ENSG00000179772	forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]	20	31844303	31845604	FOXS1
ENSG00000101158	negative elongation factor complex member C/D [Source:HGNC Symbol;Acc:HGNC:15934]	20	58981208	58995133	NELFCD
ENSG00000131044	tubulin tyrosine ligase like 9 [Source:HGNC Symbol;Acc:HGNC:16118]	20	31870702	31944963	TTLL9
ENSG00000129988	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	20	38346482	38377013	LBP
ENSG00000088356	p53 and DNA damage regulated 1 [Source:HGNC Symbol;Acc:HGNC:16119]	20	31944337	31952046	PDRG1
ENSG00000149599	dual specificity phosphatase 15 [Source:HGNC Symbol;Acc:HGNC:16236]	20	31847637	31870747	DUSP15
ENSG00000089091	double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]	20	18383367	18467281	DZANK1
ENSG00000124181	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	20	41136960	41196801	PLCG1
ENSG00000198900	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	20	41028822	41124487	TOP1
ENSG00000174306	zinc fingers and homeoboxes 3 [Source:HGNC Symbol;Acc:HGNC:15935]	20	41178448	41317672	ZHX3
ENSG00000125869	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]	20	9514358	9530524	LAMP5
ENSG00000254995	STX16-NPEPL1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41993]	20	58651434	58715410	STX16-NPEPL1
ENSG00000215440	aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:16244]	20	58689131	58719238	NPEPL1
ENSG00000124222	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	20	58651253	58679526	STX16
ENSG00000100991	transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]	20	35002404	35092807	TRPC4AP
ENSG00000078814	myosin heavy chain 7B [Source:HGNC Symbol;Acc:HGNC:15906]	20	34975403	35002437	MYH7B
ENSG00000101160	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	20	58995185	59007254	CTSZ
ENSG00000132664	RNA polymerase III subunit F [Source:HGNC Symbol;Acc:HGNC:15763]	20	18467389	18484646	POLR3F
ENSG00000101109	serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]	20	44966479	45080021	STK4
ENSG00000088367	erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]	20	36091504	36232799	EPB41L1
ENSG00000087586	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	20	56369389	56392337	AURKA
ENSG00000260903	XK related 7 [Source:HGNC Symbol;Acc:HGNC:23062]	20	31968151	32003387	XKR7
ENSG00000124172	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]	20	59025475	59032345	ATP5F1E
ENSG00000101331	CCM2 like scaffold protein [Source:HGNC Symbol;Acc:HGNC:16153]	20	32010438	32032180	CCM2L
ENSG00000101162	tubulin beta 1 class VI [Source:HGNC Symbol;Acc:HGNC:16257]	20	59019254	59026654	TUBB1
ENSG00000075043	potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]	20	63400210	63472677	KCNQ2
ENSG00000124134	potassium voltage-gated channel modifier subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:6300]	20	45091214	45101127	KCNS1
ENSG00000089050	RB binding protein 9, serine hydrolase [Source:HGNC Symbol;Acc:HGNC:9892]	20	18486540	18497225	RBBP9
ENSG00000175121	WAP four-disulfide core domain 5 [Source:HGNC Symbol;Acc:HGNC:20477]	20	45109452	45115172	WFDC5
ENSG00000168703	WAP four-disulfide core domain 12 [Source:HGNC Symbol;Acc:HGNC:16115]	20	45123425	45124465	WFDC12
ENSG00000124102	peptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:8947]	20	45174902	45176544	PI3
ENSG00000124233	semenogelin 1 [Source:HGNC Symbol;Acc:HGNC:10742]	20	45207033	45209768	SEMG1
ENSG00000124157	semenogelin 2 [Source:HGNC Symbol;Acc:HGNC:10743]	20	45221373	45224458	SEMG2
ENSG00000101166	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	20	59033145	59042809	PRELID3B
ENSG00000064787	breast carcinoma amplified sequence 1 [Source:HGNC Symbol;Acc:HGNC:974]	20	53936777	54070594	BCAS1
ENSG00000124212	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	20	49503874	49568137	PTGIS
ENSG00000131043	AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]	20	36236459	36270918	AAR2
ENSG00000088298	ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]	20	35115364	35147336	EDEM2
ENSG00000198185	zinc finger protein 334 [Source:HGNC Symbol;Acc:HGNC:15806]	20	46499630	46513559	ZNF334
ENSG00000158470	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	20	49632945	49713878	B4GALT5
ENSG00000101000	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	20	35172072	35216240	PROCR
ENSG00000125966	matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]	20	35226690	35276998	MMP24
ENSG00000149635	osteoclast stimulatory transmembrane protein [Source:HGNC Symbol;Acc:HGNC:16116]	20	46540946	46550654	OCSTAMP
ENSG00000126005	MMP24 opposite strand [Source:HGNC Symbol;Acc:HGNC:44421]	20	35201745	35278131	MMP24OS
ENSG00000261582	novel transcript	20	35267885	35280043	
ENSG00000242372	eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]	20	35278911	35284985	EIF6
ENSG00000124107	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	20	45252239	45254564	SLPI
ENSG00000101310	SEC23 homolog B, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10702]	20	18507520	18561415	SEC23B
ENSG00000124159	matrilin 4 [Source:HGNC Symbol;Acc:HGNC:6910]	20	45293445	45308529	MATN4
ENSG00000101138	cleavage stimulation factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:2483]	20	56392371	56406362	CSTF1
ENSG00000124232	recombination signal binding protein for immunoglobulin kappa J region like [Source:HGNC Symbol;Acc:HGNC:13761]	20	45306840	45317824	RBPJL
ENSG00000197818	solute carrier family 9 member A8 [Source:HGNC Symbol;Acc:HGNC:20728]	20	49812713	49892242	SLC9A8
ENSG00000101336	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	20	32052188	32101856	HCK
ENSG00000087589	Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]	20	56412112	56460387	CASS4
ENSG00000232388	small integral membrane protein 26 [Source:HGNC Symbol;Acc:HGNC:43430]	20	18567347	18569563	SMIM26
ENSG00000125821	D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]	20	18587893	18766644	DTD1
ENSG00000284776	novel protein	20	18567453	18744216	
ENSG00000158480	spermatogenesis associated 2 [Source:HGNC Symbol;Acc:HGNC:14681]	20	49903391	49915529	SPATA2
ENSG00000132793	lipin 3 [Source:HGNC Symbol;Acc:HGNC:14451]	20	41340920	41360582	LPIN3
ENSG00000183798	elastin microfibril interfacer 3 [Source:HGNC Symbol;Acc:HGNC:16123]	20	41359962	41366818	EMILIN3
ENSG00000132631	SCP2 sterol binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16211]	20	18813783	18814378	SCP2D1
ENSG00000125998	family with sequence similarity 83 member C [Source:HGNC Symbol;Acc:HGNC:16121]	20	35285731	35292425	FAM83C
ENSG00000124126	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	20	48624252	48827999	PREX1
ENSG00000158296	solute carrier family 13 member 3 [Source:HGNC Symbol;Acc:HGNC:14430]	20	46557823	46684467	SLC13A3
ENSG00000019186	cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]	20	54153446	54173986	CYP24A1
ENSG00000101337	transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]	20	32109714	32167258	TM9SF4
ENSG00000124145	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	20	45325288	45348424	SDC4
ENSG00000172315	TP53 regulating kinase [Source:HGNC Symbol;Acc:HGNC:16197]	20	46684365	46689444	TP53RK
ENSG00000185052	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	20	19212642	19722926	SLC24A3
ENSG00000022277	replication termination factor 2 [Source:HGNC Symbol;Acc:HGNC:15890]	20	56468585	56519449	RTF2
ENSG00000126003	PLAG1 like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:9047]	20	32192504	32207743	PLAGL2
ENSG00000124103	family with sequence similarity 209 member A [Source:HGNC Symbol;Acc:HGNC:16100]	20	56517187	56526152	FAM209A
ENSG00000124091	glucosaminyl (N-acetyl) transferase family member 7 [Source:HGNC Symbol;Acc:HGNC:16099]	20	56491492	56525925	GCNT7
ENSG00000124177	chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]	20	41402083	41618384	CHD6
ENSG00000101019	ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:15891]	20	35302566	35412031	UQCC1
ENSG00000132669	Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]	20	19757606	20002459	RIN2
ENSG00000101346	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]	20	32207880	32238658	POFUT1
ENSG00000124198	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	20	48921711	49036693	ARFGEF2
ENSG00000101350	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	20	32277651	32335011	KIF3B
ENSG00000101210	eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]	20	63488014	63499185	EEF1A2
ENSG00000197496	solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]	20	46709649	46736347	SLC2A10
ENSG00000173418	N(alpha)-acetyltransferase 20, NatB catalytic subunit [Source:HGNC Symbol;Acc:HGNC:15908]	20	20017310	20033655	NAA20
ENSG00000125534	pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]	20	63520765	63522206	PPDPF
ENSG00000101213	protein tyrosine kinase 6 [Source:HGNC Symbol;Acc:HGNC:9617]	20	63528001	63537376	PTK6
ENSG00000124207	chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]	20	49046246	49096960	CSE1L
ENSG00000213714	family with sequence similarity 209 member B [Source:HGNC Symbol;Acc:HGNC:16101]	20	56533246	56536520	FAM209B
ENSG00000087510	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]	20	56629306	56639283	TFAP2C
ENSG00000101343	crooked neck pre-mRNA splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:15762]	20	20034368	20056046	CRNKL1
ENSG00000089101	cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]	20	20052514	20360698	CFAP61
ENSG00000064655	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]	20	46894624	47188844	EYA2
ENSG00000171456	ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]	20	32358330	32439319	ASXL1
ENSG00000124226	ring finger protein 114 [Source:HGNC Symbol;Acc:HGNC:13094]	20	49936336	49953885	RNF114
ENSG00000101349	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	20	9537389	9839041	PAK5
ENSG00000132639	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	20	10218830	10307418	SNAP25
ENSG00000132623	ankyrin repeat and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15803]	20	9986126	10058303	ANKEF1
ENSG00000125965	growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]	20	35433347	35454746	GDF5
ENSG00000204183	growth differentiation factor 5 opposite strand [Source:HGNC Symbol;Acc:HGNC:33435]	20	35433029	35435450	GDF5OS
ENSG00000126001	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]	20	35455164	35519280	CEP250
ENSG00000124214	staufen double-stranded RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11370]	20	49113339	49188367	STAU1
ENSG00000101144	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	20	57168753	57266641	BMP7
ENSG00000124216	snail family transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:11128]	20	49982980	49988886	SNAI1
ENSG00000196090	protein tyrosine phosphatase receptor type T [Source:HGNC Symbol;Acc:HGNC:9682]	20	42072752	43189970	PTPRT
ENSG00000204070	SYS1 golgi trafficking protein [Source:HGNC Symbol;Acc:HGNC:16162]	20	45361937	45376798	SYS1
ENSG00000244274	dysbindin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15881]	20	45406057	45410610	DBNDD2
ENSG00000124251	TP53 target 5 [Source:HGNC Symbol;Acc:HGNC:15856]	20	45372557	45407889	TP53TG5
ENSG00000254806	SYS1-DBNDD2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:33535]	20	45363200	45410610	SYS1-DBNDD2
ENSG00000054796	SPO11 initiator of meiotic double stranded breaks [Source:HGNC Symbol;Acc:HGNC:11250]	20	57329803	57343994	SPO11
ENSG00000288000	novel protein	20	43458054	43541881	
ENSG00000101049	serum/glucocorticoid regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:13900]	20	43558968	43588237	SGK2
ENSG00000277611	novel protein	20	43540171	43569498	
ENSG00000185513	L3MBTL histone methyl-lysine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15905]	20	43489442	43550950	L3MBTL1
ENSG00000285508	novel protein	20	10413520	10431922	
ENSG00000285723	novel protein	20	10420546	10420737	
ENSG00000125863	McKusick-Kaufman syndrome [Source:HGNC Symbol;Acc:HGNC:7108]	20	10401009	10434222	MKKS
